Entidad,PIB ,Anio
 Veracruz de Ignacio de la Llave ,996481.818,2022
 Yucatán ,351121.558,2022
 Zacatecas ,206384.167,2022
 Sinaloa ,,2023
 Sonora ,,2023
 Tabasco ,,2023
 Tamaulipas ,,2023
 Tlaxcala ,,2023
 Total nacional ,,2023
 Veracruz de Ignacio de la Llave ,,2023
 Yucatán ,,2023
 Zacatecas ,,2023
